AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
59,2.0,1.0,50.0,30000.0
44,20.0,1.0,30.0,2000.0
69,,,30.0,51000.0
43,,,,13200.0
59,15.0,2.0,40.0,20400.0
79,,,,13000.0
21,25.0,2.0,30.0,11100.0
18,,,,0.0
72,,,,51000.0
3,,,,
0,,,,
66,,,,11300.0
15,,,,500.0
56,55.0,1.0,50.0,74600.0
14,,,,
64,30.0,1.0,40.0,25200.0
65,,,,17000.0
2,,,,
20,,,58.0,2000.0
4,,,,
56,,,,56100.0
72,10.0,1.0,15.0,75800.0
48,30.0,1.0,32.0,70000.0
76,,,,12200.0
28,15.0,1.0,40.0,140000.0
22,,,45.0,3000.0
1,,,,
14,,,,
72,,,,6000.0
61,5.0,1.0,84.0,108000.0
21,10.0,,6.0,4650.0
6,,,,
62,,,40.0,10400.0
34,17.0,2.0,40.0,29000.0
45,,,20.0,28000.0
3,,,,
32,25.0,,50.0,90000.0
59,,,,0.0
6,,,,
7,,,,
61,,,,0.0
49,1.0,,50.0,165000.0
51,15.0,1.0,50.0,8400.0
27,45.0,,40.0,73000.0
4,,,,
38,,,40.0,140000.0
30,,,,3000.0
68,15.0,1.0,20.0,31200.0
36,30.0,1.0,55.0,92000.0
65,,,,1900.0
19,,,,0.0
34,7.0,1.0,40.0,52000.0
74,,,,6200.0
26,30.0,1.0,30.0,8400.0
59,25.0,1.0,50.0,85000.0
72,,,,37000.0
46,10.0,1.0,40.0,15000.0
95,,,,16800.0
23,,,40.0,3000.0
68,,,,26100.0
59,,,,270.0
33,40.0,1.0,40.0,110000.0
54,20.0,1.0,35.0,100000.0
35,15.0,1.0,40.0,38000.0
48,60.0,1.0,40.0,125000.0
21,,,30.0,3600.0
21,5.0,2.0,40.0,15000.0
74,,,,9600.0
56,15.0,1.0,40.0,69290.0
91,,,,17500.0
65,,,,2600.0
53,6.0,1.0,32.0,78000.0
57,,,18.0,1000.0
53,20.0,1.0,10.0,6500.0
38,,,10.0,4.0
60,35.0,1.0,40.0,65000.0
15,,,,0.0
55,,,40.0,153200.0
58,3.0,2.0,40.0,25000.0
21,50.0,1.0,20.0,10000.0
68,,,,6950.0
84,,,,11500.0
43,1.0,,40.0,65000.0
23,10.0,,40.0,31500.0
53,,,,14000.0
69,5.0,1.0,25.0,95900.0
73,,,,66500.0
76,,,,13000.0
68,,,,12300.0
29,15.0,1.0,40.0,42700.0
66,,,,239400.0
33,,,,0.0
86,,,,40600.0
66,,,24.0,53600.0
19,5.0,1.0,40.0,18000.0
39,20.0,1.0,40.0,35000.0
17,,,3.0,200.0
49,10.0,1.0,35.0,52000.0
11,,,,
70,,,,45600.0
62,1.0,,40.0,14000.0
3,,,,
26,25.0,1.0,30.0,23700.0
95,,,,23000.0
71,,,,220000.0
34,11.0,2.0,43.0,57000.0
69,15.0,1.0,40.0,43800.0
38,,,,0.0
41,45.0,1.0,25.0,48000.0
9,,,,
43,5.0,1.0,12.0,10000.0
20,45.0,1.0,10.0,1000.0
17,,,,0.0
