AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
62,,,,85000.0
30,10.0,1.0,40.0,55000.0
5,,,,
52,10.0,1.0,50.0,65000.0
7,,,,
67,,,,38100.0
9,,,,
48,,,,0.0
63,,,,222700.0
12,,,,
71,,,,9300.0
16,,,,15000.0
56,20.0,1.0,38.0,79700.0
69,,,,22200.0
57,,,,12800.0
57,5.0,1.0,40.0,34000.0
11,,,,
80,,,,11700.0
50,75.0,1.0,30.0,19000.0
60,2.0,2.0,40.0,68600.0
3,,,,
4,,,,
21,10.0,1.0,45.0,24000.0
59,15.0,1.0,40.0,99000.0
18,15.0,1.0,40.0,25900.0
37,5.0,,84.0,40010.0
52,10.0,1.0,43.0,85300.0
60,,,40.0,23500.0
26,,,60.0,30000.0
22,15.0,2.0,40.0,23000.0
34,,,,0.0
12,,,,
24,,,,0.0
39,5.0,,40.0,61000.0
23,5.0,,40.0,10600.0
21,,,,0.0
65,,,,116900.0
27,15.0,1.0,40.0,2900.0
4,,,,
50,30.0,1.0,40.0,44000.0
52,3.0,1.0,40.0,67100.0
36,,,,2400.0
9,,,,
23,10.0,,40.0,8600.0
86,,,,107800.0
69,,,,46600.0
40,,,,0.0
54,10.0,1.0,40.0,40000.0
33,,,99.0,37800.0
53,2.0,,21.0,35500.0
55,,,30.0,2900.0
36,,,,0.0
24,,,,0.0
61,10.0,1.0,35.0,25000.0
24,15.0,2.0,50.0,34000.0
45,2.0,,40.0,22600.0
44,3.0,1.0,40.0,72000.0
12,,,,
38,10.0,1.0,35.0,47400.0
45,35.0,1.0,36.0,58000.0
49,10.0,1.0,20.0,32600.0
17,,,,0.0
62,,,60.0,70000.0
53,,,,0.0
25,,,20.0,22500.0
37,15.0,1.0,50.0,46600.0
2,,,,
47,,,40.0,82000.0
55,10.0,,40.0,66600.0
11,,,,
54,,,,140000.0
69,30.0,1.0,38.0,55000.0
1,,,,
72,,,,21300.0
39,3.0,,50.0,33600.0
11,,,,
67,5.0,1.0,45.0,39900.0
44,,,30.0,10000.0
28,30.0,3.0,40.0,181300.0
35,5.0,1.0,30.0,43600.0
64,,,,217100.0
50,195.0,1.0,50.0,56600.0
30,5.0,1.0,40.0,57600.0
59,,,,48000.0
46,20.0,1.0,38.0,61400.0
70,,,,156600.0
49,,,,29600.0
58,1.0,1.0,40.0,28000.0
30,12.0,1.0,40.0,19000.0
78,,,,17900.0
64,,,,20000.0
8,,,,
5,,,,
64,,,,16050.0
13,,,,
32,20.0,1.0,50.0,40000.0
21,5.0,1.0,40.0,21000.0
30,,,40.0,119000.0
26,,,20.0,4000.0
72,,,,49400.0
41,10.0,1.0,40.0,99600.0
58,18.0,1.0,45.0,29800.0
81,,,,76600.0
34,15.0,1.0,40.0,66000.0
8,,,,
20,7.0,1.0,43.0,26000.0
41,15.0,1.0,70.0,37000.0
23,5.0,1.0,30.0,21700.0
78,,,,2400.0
11,,,,
78,,,,66000.0
61,12.0,2.0,40.0,75000.0
32,,,,1600.0
49,200.0,1.0,30.0,23500.0
17,55.0,3.0,18.0,8100.0
2,,,,
72,20.0,1.0,30.0,48000.0
74,,,,10200.0
32,15.0,1.0,40.0,51400.0
24,,,,0.0
11,,,,
68,5.0,1.0,30.0,42600.0
19,3.0,,35.0,26000.0
13,,,,
72,,,,13500.0
40,200.0,1.0,40.0,86600.0
28,50.0,2.0,40.0,80000.0
79,,,,15600.0
37,5.0,,60.0,81600.0
22,4.0,,40.0,24000.0
3,,,,
68,35.0,1.0,40.0,31700.0
67,,,,16600.0
46,150.0,,85.0,164600.0
62,15.0,1.0,40.0,60000.0
23,5.0,,30.0,25000.0
56,15.0,1.0,40.0,35000.0
3,,,,
51,15.0,1.0,40.0,84100.0
27,,,18.0,21500.0
38,1.0,1.0,68.0,115200.0
3,,,,
27,5.0,1.0,40.0,47700.0
60,,,16.0,25300.0
11,,,,
20,45.0,,40.0,31600.0
55,2.0,,40.0,80200.0
