AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
32,,,,0.0
51,,,,0.0
88,,,,14600.0
71,,,,80800.0
29,40.0,1.0,40.0,28000.0
61,,,,9300.0
25,10.0,1.0,40.0,25000.0
16,,,,0.0
62,,,,70600.0
65,,,,57900.0
13,,,,
1,,,,
48,,,,0.0
67,,,10.0,35000.0
69,,,28.0,12100.0
63,,,,460.0
27,,,,22000.0
44,5.0,1.0,40.0,28000.0
56,20.0,1.0,72.0,69400.0
19,15.0,1.0,30.0,6000.0
21,10.0,1.0,40.0,17000.0
41,,,,0.0
87,,,,14500.0
61,,,,63300.0
60,15.0,1.0,40.0,27000.0
45,,,,0.0
51,45.0,1.0,45.0,50000.0
6,,,,
40,5.0,2.0,25.0,3000.0
52,,,,17600.0
40,,,,240000.0
38,30.0,1.0,40.0,57000.0
25,,,,0.0
57,10.0,1.0,60.0,60000.0
18,3.0,,9.0,340.0
62,,,,56100.0
49,18.0,1.0,65.0,40000.0
65,,,8.0,14200.0
2,,,,
7,,,,
58,15.0,1.0,50.0,35180.0
58,60.0,1.0,40.0,114800.0
0,,,,
9,,,,
63,15.0,1.0,32.0,185800.0
53,,,,480.0
10,,,,
59,,,20.0,13000.0
55,,,,0.0
50,35.0,1.0,40.0,36000.0
45,35.0,1.0,40.0,78000.0
87,,,,24300.0
5,,,,
57,,,8.0,3200.0
24,20.0,1.0,40.0,45400.0
30,,,,0.0
44,10.0,1.0,40.0,40000.0
62,,,,15900.0
18,,,,0.0
39,30.0,1.0,40.0,54000.0
64,,,,10200.0
62,10.0,1.0,40.0,40000.0
73,,,,22000.0
27,20.0,1.0,45.0,31600.0
93,,,,9200.0
12,,,,
53,,,,0.0
4,,,,
31,40.0,1.0,40.0,15000.0
12,,,,
60,,,,137200.0
63,20.0,1.0,16.0,9600.0
22,42.0,1.0,55.0,70000.0
29,5.0,1.0,35.0,110000.0
80,,,,45500.0
52,,,,10500.0
71,,,,7200.0
72,,,,31000.0
64,,,,14000.0
54,30.0,1.0,50.0,65000.0
