AgeInYears,TravelTimeToWorkInMinutes,NumberOfPeopleInCarpool,HoursWorkedWeeklyInPastYear,TotalIncomeInDollars
20,15.0,1.0,40.0,26100.0
54,,,,0.0
40,40.0,1.0,40.0,70000.0
80,,,,18200.0
16,,,,0.0
4,,,,
16,,,30.0,590.0
65,15.0,2.0,40.0,27300.0
55,60.0,1.0,40.0,70000.0
31,10.0,1.0,40.0,83000.0
57,45.0,,40.0,48000.0
8,,,,
11,,,,
35,30.0,1.0,40.0,65000.0
63,10.0,1.0,8.0,300.0
52,,,,209000.0
64,,,,59500.0
58,10.0,2.0,50.0,138000.0
9,,,,
61,,,60.0,165000.0
2,,,,
76,,,,75400.0
48,,,45.0,60000.0
75,,,,85300.0
87,,,,22800.0
26,15.0,1.0,40.0,10000.0
12,,,,
36,60.0,1.0,40.0,20000.0
46,20.0,1.0,40.0,60000.0
58,,,,40400.0
13,,,,
92,,,,24000.0
51,60.0,,40.0,24000.0
70,,,,7800.0
56,,,,0.0
41,20.0,1.0,40.0,60000.0
19,45.0,1.0,35.0,3500.0
8,,,,
25,10.0,1.0,50.0,70000.0
59,,,,0.0
27,30.0,1.0,39.0,38900.0
21,20.0,1.0,40.0,15000.0
59,90.0,,40.0,70160.0
70,15.0,1.0,40.0,73700.0
64,,,,11800.0
70,20.0,1.0,7.0,88500.0
60,15.0,1.0,35.0,50000.0
39,15.0,1.0,40.0,56000.0
33,30.0,1.0,40.0,60000.0
74,,,38.0,14400.0
4,,,,
27,,,,0.0
67,,,,42540.0
53,10.0,1.0,38.0,25000.0
68,,,,61900.0
45,30.0,1.0,30.0,38400.0
46,30.0,1.0,40.0,110000.0
38,15.0,2.0,40.0,115000.0
24,30.0,,40.0,60000.0
65,30.0,3.0,45.0,100000.0
6,,,,
82,,,,17200.0
59,60.0,1.0,32.0,25600.0
64,30.0,1.0,60.0,120080.0
67,15.0,1.0,30.0,50300.0
37,12.0,1.0,45.0,33000.0
63,40.0,1.0,40.0,56000.0
22,5.0,1.0,40.0,27000.0
3,,,,
37,18.0,1.0,40.0,65000.0
38,45.0,1.0,40.0,77000.0
43,2.0,1.0,40.0,68000.0
4,,,,
47,,,24.0,5000.0
33,25.0,6.0,40.0,38500.0
4,,,,
21,15.0,,9.0,6000.0
